Aestus†Santa Monica†Trendy Foodie_famous Farm_to_Table Quiet Date_night Takes_Reservations good_drinks†31-50†Lunch Dinner††507 Wilshire Blvd, Santa Monica, CA 90401†(424) 268-4433†4.0/5†all_American††http://www.aestusrestaurant.com/
Art's Table†Santa Monica†Casual Small_Plates Wine_Bar Takes_Reservations†21-30†Breakfast Lunch Dinner††1002 Montana Ave, Santa Monica, CA 90403†(310) 395-2500†4.0/5†all_American††http://www.artstablesm.com/
Belcampo†Santa Monica†Takes_Reservations good_drinks†31-50†Brunch Lunch Dinner††1026 Wilshire Blvd, Santa Monica, CA 90401†(424) 744-8008†3.5/5†all_American Steakhouse Burgers††http://www.belcampo.com/restaurant/santa-monica/
Benihana†Santa Monica†good_drinks good_for_groups Casual Takes_Reservations†20-30†Lunch Dinner††1447 4th St, Santa Monica, CA 90401†(310) 260-1423†3.0/5†Japanese††http://www.benihana.com/
Big Dean's Oceanfront Cafe†Santa Monica†Casual lively_bar_area†<20†††1615 Ocean Front Walk, Santa Monica, CA 90401†(310) 393-2666†4.0/5†Bars Burgers Cafe†sports bar, day drinking†http://www.bigdeansoceanfrontcafe.com/
Blue Plate†Santa Monica†Casual lively locals†20-30†Brunch Lunch Dinner††1415 Montana Ave, Santa Monica, CA 90402†(310) 260-8877††Seafood††http://www.blueplatemontana.com/home
Blue Plate Oysterette†Santa Monica†worth_the_lines Casual Small_Plates†31-50†Lunch Dinner††1355 Ocean Ave, Santa Monica, CA 90401†(310) 576-3474†4.0/5†Seafood††http://www.blueplateoysterette.com/home
Bodega†Santa Monica†Trendy Bar_Scene Share_Plates†20-30†††814 Broadway, Santa Monica, CA 90401†(310) 394-3504†4.0/5†Bar tapas†THE First_Date_Spot†http://bodegawinebar.com/
Border Grill†Santa Monica†good_Drinks Takes_Reservations Casual good_for_Groups†20-30†Breakfast Brunch Lunch Dinner Drinks††1445 4th St, Santa Monica, CA 90401†(310) 451-1655†3.5/5†Mexican††http://www.bordergrill.com/locations/santa-monica/
Bru's Wiffle a Waffle†Santa Monica†Casual Takes_Reservations Trendy†20-30†Brunch                  Lunch††2408 Wilshire Blvd, Santa Monica, CA 90403†(310) 453-2787†4.0/5†all_American†small, made from scratch†http://bruswiffle.com/
Capo†Santa Monica†Romantic Upscale special_occasion†50+†Dinner Drinks††1810 Ocean Ave, Santa Monica, CA 90401†(310) 394-5550†4.0/5†Italian††http://www.caporestaurant.com/
Cassia†Santa Monica†Trendy Outdoor_Seating Bar_Scene Good_for_Parents Fusion†31-50†Drinks Dinner††1314 7th St, Santa Monica, CA 90401†(310) 393-6699†4.0/5†asian†sceney†http://www.cassiala.com/
